Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
AK|BWN|64.1732|-149.2991|356.0|Browne, AK, USA|2009-08-27T00:00:00|2599-12-31T23:59:59
AK|CCB|64.6453|-147.8053|233.0|Clear Creek Butte, AK, USA|2009-01-28T00:00:00|2599-12-31T23:59:59
AK|CUT|62.4058|-150.2625|574.0|Chulitna, AK, USA|2014-05-15T00:00:00|2599-12-31T23:59:59
AK|MCK|63.7318|-148.9373|618.0|McKinley Park, AK, USA|1998-08-15T00:00:00|2599-12-31T23:59:59
AK|NEA2|64.5928|-149.0694|450.0|Nenana, AK, USA|2014-06-12T00:00:00|2599-12-31T23:59:59
AK|RND|63.4056|-148.8602|993.6|Reindeer, AK, USA|2008-06-15T00:00:00|2599-12-31T23:59:59
AK|TRF|63.4501|-150.2892|1709.9|Thorofare Mountain, AK, USA|2016-09-01T00:00:00|2599-12-31T23:59:59
AK|WAT1|62.8295|-148.5509|722.0|Susitna Watana 1, AK, USA|2012-08-12T00:00:00|2599-12-31T23:59:59
AK|WAT6|62.5808|-147.74|1681.0|Susitna Watana 6, AK, USA|2013-08-01T00:00:00|2599-12-31T23:59:59
AK|WAT7|62.8331|-148.8476|1232.0|Susitna Watana 7, AK, USA|2013-08-01T00:00:00|2599-12-31T23:59:59
AK|WRH|64.4716|-148.0918|329.0|Wood River Hill, AK, USA|2009-06-30T00:00:00|2599-12-31T23:59:59
DE|UAF01|64.549873|-149.083237|130.0|Nenanna Municipal Airport|2018-08-03T00:00:00|2599-12-31T23:59:59
DE|UAF02|64.592651|-149.069672|377.0|Ridge North of Nenanna|2018-08-13T20:44:30|2599-12-31T23:59:59
IU|COLA|64.873599|-147.8616|200.0|College Outpost, Alaska, USA|2009-07-09T00:00:00|2599-12-31T23:59:59
TA|I23K|65.1479|-149.3603|149.0|Minto, Yukon-Koyukuk, AK, USA|2014-10-03T00:00:00|2019-09-16T23:59:59
XI|APEX1|64.696607|-148.323667|134.3|BS Forest 1|2018-06-05T20:38:23|2020-10-08T18:54:26
XI|APEX2|64.696488|-148.323168|133.1|BS Forest 2|2018-04-04T22:57:55|2020-10-08T22:38:24
XI|APEX4|64.695948|-148.322557|130.6|Transitional - Emergent Bog 1|2018-04-07T20:15:10|2020-10-08T23:30:09
XI|APEX8|64.695796|-148.321285|132.4|Intermediate Bog - West Edge|2018-04-06T23:29:23|2020-10-09T00:26:59
XI|APEX9|64.695894|-148.320937|131.3|Intermediate Bog - East Edge|2018-04-06T23:01:13|2020-10-02T23:44:57
XV|F1TN|64.6544|-149.1595|108.1|Tanana River 1, AK, USA|2015-08-27T00:00:00|2019-10-07T23:59:59
XV|F2TN|64.7094|-149.1336|104.1|Tanana River 2, AK, USA|2018-08-03T00:00:00|2019-10-06T23:59:59
XV|F3TN|64.7716|-149.1465|103.8|Tanana River 3, AK, USA|2014-09-29T00:00:00|2019-08-18T23:59:59
XV|F4TN|64.8339|-149.1526|101.9|Tanana River 4, AK, USA|2016-09-16T00:00:00|2019-09-29T23:59:59
XV|F5MN|64.8857|-149.1814|100.7|Tanana River 5, Old Minto, AK, USA|2015-09-02T00:00:00|2019-09-29T23:59:59
XV|F6TP|64.87|-149.5598|115.5|Tanana River 6, Topo, AK, USA|2015-09-04T00:00:00|2019-10-06T23:59:59
XV|F7TV|64.8537|-149.8256|92.6|Tanana River 7, Tolovana, AK, USA|2015-09-03T00:00:00|2019-09-30T23:59:59
XV|F8KN|64.7653|-149.9307|117.9|Tanana River 8, Kantishna, AK, USA|2015-09-03T00:00:00|2019-09-30T23:59:59
XV|FAPT|64.5498|-149.0831|111.2|Nenana Airport, AK, USA|2015-08-12T00:00:00|2019-09-28T23:59:59
XV|FNN1|64.5716|-149.2178|110.0|Nunivak 1 well, AK, USA|2015-08-14T00:00:00|2019-09-01T23:59:59
XV|FNN2|64.5756|-149.4456|134.6|Nunivak 2 well, AK, USA|2015-08-13T00:00:00|2019-09-01T23:59:59
XV|FPAP|64.613|-149.0992|105.5|Papi Latham house, AK, USA|2014-09-04T00:00:00|2019-09-28T23:59:59
XV|FTGH|64.6917|-148.8279|284.5|Toghotthele, Parks Hwy, AK, USA|2015-08-12T00:00:00|2019-09-28T23:59:59
ZE|1001|62.316507|-150.234611|111.2|1001|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1002|62.325397|-150.239369|117.2|1002|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1003|62.333558|-150.24188|120.4|1003|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1004|62.341842|-150.249069|133.2|1004|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1005|62.350754|-150.25164|128.6|1005|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1006|62.359839|-150.25395|132.3|1006|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1007|62.368259|-150.260137|142.3|1007|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1008|62.376361|-150.267249|150.7|1008|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1009|62.385338|-150.264155|155.0|1009|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1010|62.394232|-150.262511|151.0|1010|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1011|62.402898|-150.259042|151.8|1011|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1012|62.41227|-150.258342|168.5|1012|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1013|62.420784|-150.262009|177.8|1013|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1014|62.429493|-150.264267|175.6|1014|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1015|62.438481|-150.264716|176.3|1015|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1016|62.447191|-150.269728|175.8|1016|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1017|62.45583|-150.272099|181.9|1017|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1018|62.464822|-150.270711|198.0|1018|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1019|62.473801|-150.27098|199.9|1019|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1020|62.482667|-150.27504|212.0|1020|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1021|62.491673|-150.274669|205.8|1021|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1022|62.50021|-150.269662|203.9|1022|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1023|62.507966|-150.259981|192.5|1023|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1024|62.515339|-150.248743|204.9|1024|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1025|62.523016|-150.238845|213.2|1025|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1026|62.53186|-150.235428|218.3|1026|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1027|62.540577|-150.236285|214.6|1027|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1028|62.549146|-150.237719|221.8|1028|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1029|62.557383|-150.242199|190.6|1029|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1030|62.563896|-150.234212|163.3|1030|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1031|62.573483|-150.237997|191.4|1031|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1032|62.581898|-150.235371|192.5|1032|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1033|62.591765|-150.238487|198.1|1033|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1034|62.599844|-150.236138|212.4|1034|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1035|62.606757|-150.22371|197.3|1035|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1036|62.615985|-150.22436|198.1|1036|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1037|62.624283|-150.226994|176.0|1037|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1038|62.632934|-150.227697|194.0|1038|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1039|62.641616|-150.221186|206.5|1039|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1040|62.650559|-150.2233|217.5|1040|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1041|62.659588|-150.224506|211.0|1041|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1042|62.668054|-150.229058|212.2|1042|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1043|62.676232|-150.236199|220.6|1043|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1044|62.684341|-150.243444|229.1|1044|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1045|62.692748|-150.238283|234.4|1045|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1046|62.700713|-150.229685|230.5|1046|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1047|62.707937|-150.217503|212.0|1047|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1048|62.713239|-150.202585|212.4|1048|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1049|62.721687|-150.195243|210.4|1049|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1050|62.726487|-150.179443|240.1|1050|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1051|62.731995|-150.162966|254.6|1051|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1052|62.737539|-150.147787|265.8|1052|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1053|62.74451|-150.136093|257.0|1053|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1054|62.750158|-150.122171|269.4|1054|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1055|62.755974|-150.106171|273.0|1055|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1056|62.759891|-150.089073|303.5|1056|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1057|62.765268|-150.071528|310.4|1057|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1058|62.770821|-150.056671|319.2|1058|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1059|62.775685|-150.041118|341.1|1059|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1060|62.782195|-150.02737|351.0|1060|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1061|62.787999|-150.013027|360.4|1061|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1062|62.793593|-149.997859|371.7|1062|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1063|62.799641|-149.981841|378.7|1063|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1064|62.805775|-149.968107|389.5|1064|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1065|62.81137|-149.950558|395.9|1065|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1066|62.816254|-149.936864|411.4|1066|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1067|62.821908|-149.920853|419.9|1067|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1068|62.826912|-149.904824|428.6|1068|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1069|62.834306|-149.893784|413.8|1069|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1070|62.842279|-149.883814|405.6|1070|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1071|62.850714|-149.877376|377.9|1071|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1072|62.859341|-149.874583|370.1|1072|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1073|62.865665|-149.861265|367.8|1073|2019-02-11T00:00:00|2019-03-26T23:59:59
