Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
ZE|1001|62.316507|-150.234611|111.2|1001|2019-02-11T18:48:55.272000Z|2019-03-19T21:18:55.270000Z
ZE|1002|62.325397|-150.239369|117.2|1002|2019-02-11T19:02:58.742000Z|2019-03-19T06:02:58.740000Z
ZE|1003|62.333558|-150.24188|120.4|1003|2019-02-11T19:18:30.430000Z|2019-03-19T05:48:30.428000Z
ZE|1004|62.341842|-150.249069|133.2|1004|2019-02-11T19:41:58.289999Z|2019-03-19T06:41:58.287998Z
ZE|1005|62.350754|-150.25164|128.6|1005|2019-02-11T20:04:33.286000Z|2019-03-20T21:04:33.284000Z
ZE|1006|62.359839|-150.25395|132.3|1006|2019-02-11T20:24:28.543998Z|2019-03-20T09:54:28.541998Z
ZE|1007|62.368259|-150.260137|142.3|1007|2019-02-11T20:55:58.703999Z|2019-03-19T08:55:58.701999Z
ZE|1008|62.376361|-150.267249|150.7|1008|2019-02-11T21:15:34.599998Z|2019-03-19T23:15:34.597998Z
ZE|1009|62.385338|-150.264155|155.0|1009|2019-02-11T21:49:14.686000Z|2019-03-19T03:49:14.684000Z
ZE|1010|62.394232|-150.262511|151.0|1010|2019-02-11T22:04:10.823998Z|2019-03-20T07:04:10.821998Z
ZE|1011|62.402898|-150.259042|151.8|1011|2019-02-11T22:28:32.773998Z|2019-03-19T01:58:32.771998Z
ZE|1012|62.41227|-150.258342|168.5|1012|2019-02-11T22:46:34.996000Z|2019-03-09T22:46:34.994000Z
ZE|1013|62.420784|-150.262009|177.8|1013|2019-02-11T23:09:09.476000Z|2019-03-19T07:09:09.474000Z
ZE|1014|62.429493|-150.264267|175.6|1014|2019-02-11T23:23:26.480000Z|2019-03-16T17:23:26.478000Z
ZE|1015|62.438481|-150.264716|176.3|1015|2019-02-11T23:49:00.426000Z|2019-03-20T00:49:00.424000Z
ZE|1016|62.447191|-150.269728|175.8|1016|2019-02-12T00:09:08.696000Z|2019-03-19T12:09:08.694000Z
ZE|1017|62.45583|-150.272099|181.9|1017|2019-02-12T00:20:11.746000Z|2019-03-19T09:50:11.744000Z
ZE|1018|62.464822|-150.270711|198.0|1018|2019-02-12T00:40:09.217998Z|2019-03-19T18:10:09.215998Z
ZE|1019|62.473801|-150.27098|199.9|1019|2019-02-12T01:02:32.986000Z|2019-03-19T13:02:32.984000Z
ZE|1020|62.482667|-150.27504|212.0|1020|2019-02-12T01:24:39.776000Z|2019-03-16T14:24:39.774000Z
ZE|1021|62.491673|-150.274669|205.8|1021|2019-02-12T01:36:32.599998Z|2019-03-20T04:06:32.597998Z
ZE|1022|62.50021|-150.269662|203.9|1022|2019-02-12T01:51:32.605998Z|2019-03-20T05:21:32.603998Z
ZE|1023|62.507966|-150.259981|192.5|1023|2019-02-12T18:14:24.601999Z|2019-03-19T14:44:24.599999Z
ZE|1024|62.515339|-150.248743|204.9|1024|2019-02-12T18:29:01.381999Z|2019-03-19T17:59:01.379998Z
ZE|1025|62.523016|-150.238845|213.2|1025|2019-02-12T18:43:12.614000Z|2019-03-19T11:13:12.612000Z
ZE|1026|62.53186|-150.235428|218.3|1026|2019-02-12T18:59:49.611999Z|2019-03-20T12:29:49.609999Z
ZE|1027|62.540577|-150.236285|214.6|1027|2019-02-12T19:13:48.033998Z|2019-03-19T20:13:48.031998Z
ZE|1028|62.549146|-150.237719|221.8|1028|2019-02-12T19:34:00.599998Z|2019-03-19T17:04:00.597998Z
ZE|1029|62.557383|-150.242199|190.6|1029|2019-02-12T19:53:11.196000Z|2019-03-22T01:23:11.194000Z
ZE|1030|62.563896|-150.234212|163.3|1030|2019-02-12T20:19:25.150000Z|2019-03-19T12:49:25.148000Z
ZE|1031|62.573483|-150.237997|191.4|1031|2019-02-12T20:43:24.752000Z|2019-03-20T08:13:24.750000Z
ZE|1032|62.581898|-150.235371|192.5|1032|2019-02-12T21:04:16.486000Z|2019-03-20T15:04:16.484000Z
ZE|1033|62.591765|-150.238487|198.1|1033|2019-02-12T21:42:08.960000Z|2019-03-20T10:12:08.958000Z
ZE|1034|62.599844|-150.236138|212.4|1034|2019-02-12T22:06:20.677999Z|2019-03-21T02:36:20.675998Z
ZE|1035|62.606757|-150.22371|197.3|1035|2019-02-12T22:23:58.385998Z|2019-03-20T08:53:58.383998Z
ZE|1036|62.615985|-150.22436|198.1|1036|2019-02-12T22:38:58.961998Z|2019-03-20T21:08:58.959998Z
ZE|1037|62.624283|-150.226994|176.0|1037|2019-02-12T22:54:04.493999Z|2019-03-21T01:24:04.491998Z
ZE|1038|62.632934|-150.227697|194.0|1038|2019-02-12T23:06:12.631999Z|2019-03-20T19:36:12.629998Z
ZE|1039|62.641616|-150.221186|206.5|1039|2019-02-12T23:17:30.519999Z|2019-03-19T21:47:30.517999Z
