flight_id callsign flight
529382148 AER11 KO11
527816958 AER918 KO918
528045546 NAC765 NC765
535867231 RVF8161 7H8161
529965681 RVF8161 7H8161
535698045 CON431 -
528046665 SVX41 -
528110202 TNV132 -
528150030 TN291DT -
528458337 CON171 -
528526357 TN291DT -
529597346 TN641AT -
531035994 CON172 -
530899003 CON352 -
531039080 TNV131 -
531074861 CON272 -
531217301 SVX41 -
531236244 CON351 -
531772717 CON431 -
531913703 TNV132 -
532098214 TNV132 -
532294187 TNV132 -
532353255 TN641AT -
532485323 TNV132 -
533021368 TNV93 -
533178230 TNV132 -
533367727 TNV132 -
533532517 CON271 -
533595343 TUD00H -
533574212 CON351 -
533535464 TNV132 -
533551390 TNV132 -
533740094 TNV132 -
534494218 TNV132 -
534283777 CON131 -
534691927 TNV132 -
534544899 TN291DT -
534890090 TNV132 -
534922976 TN291DT -
535093909 TNV132 -
535662867 CON132 -
527972677 - N3255
527939878 - B6788
528093022 - B9875
528108193 - B9886
528130854 - KO11
527983038 - B8341
528154203 - D1658
528160014 - B9904
528294208 - D3370
528314337 - D3386
528342015 - D5253
528467623 - D7286
528483745 - N3255
528507117 - D7326
528515467 - D7309
528718447 - E2400
528751286 - B3333
529179427 - E8203
529207381 - E8210
529250073 - F0106
529387864 - F224
529415525 - F319
529544009 - F5531
529588187 - F5567
529713224 - F9184
529731225 - F9212
529611855 - F7301
529797746 - G0943
529816017 - G0957
529832247 - N787AD
529931912 - G321
529954504 - G323
530440626 - G9976
530653493 - H3379
530510747 - H1787
530703618 - H4610
530873327 - H6786
530703596 - H565
530822822 - H6757
530897718 - H8434
531018386 - K0280
530999913 - K0259
531074416 - K0294
531075097 - N3255
531035155 - K0260
531106546 - K241
531272112 - K4943
531220745 - K462
531247451 - K441
531711955 - M174
531730769 - M113
531886118 - M4257
531939005 - M5221
532128529 - M7601
532125767 - M7615
532076600 - M7576
531950539 - M5801
532153809 - M9331
532344104 - S2594
532530420 - S699
532488702 - S538
533015022 - L2405
532986063 - T1895
533043092 - T3529
533225699 - T6639
533155611 - T5120
533366220 - T8398
533341073 - T8386
533412364 - T9993
533523726 - V1877
533532079 - V1915
533550349 - N3255
533582807 - V1928
533777762 - N3255
533734536 - V5906
533786780 - V6938
533788726 - N3255
533733439 - V5930
533806747 - V6947
534282758 - X3140
534289592 - X3168
534484406 - X6192
534542221 - X7805
534496304 - X6163
534522655 - X6213
534463435 - X6162
534506862 - X6177
534534047 - X6226
534737473 - N3255
534718092 - X9651
534742639 - N3255
534673235 - X9636
534660590 - X9615
534925110 - Y3128
534940911 - Y4503
534744946 - Y1469
534915143 - Y3141
534870874 - Y3121
535115783 - Y9928
535100562 - N3255
535097397 - Y6900
535140892 - Y7652
535662477 - Z3823
535640659 - Z3842
535812692 - Z725
535859939 - Z877
535714720 - Z5564
535882528 - Z8512
527823506- -
528153729- -
528271394- -
528343895- -
528369736- -
528529681- -
528549602- -
528549992- -
528735271- -
528790893- -
529104990- -
529195173- -
529252803- -
529514869- -
529514914- -
529557301- -
529767734- -
529800105- -
529974228- -
529978724- -
529995268- -
530265386- -
530474970- -
530853578- -
530898349- -
531204245- -
531315946- -
531333980- -
531557468- -
531703016- -
532097388- -
532145334- -
532275077- -
532304654- -
532326007- -
532377633- -
532505788- -
532696393- -
532708269- -
532894974- -
532967708- -
533173527- -
533180629- -
533388939- -
533393031- -
533444092- -
533579047- -
533598192- -
533599897- -
533762501- -
533765030- -
533770412- -
533934559- -
534078196- -
534480894- -
534534600- -
534555346- -
534556835- -
534569872- -
534584083- -
534630956- -
534710521- -
534736445- -
534764193- -
534787678- -
534890116- -
534963483- -
534973433- -
535058178- -
535064712- -
535459880- -
535846026- -
535866545- -
